年份,资产,收益率
2019,A股,-0.083
2019,港股,-0.121
2019,美股,-0.031
2019,利率债,0.044
2019,信用债,0.077
2019,黄金,0.057
2019,商品,-0.27
2019,现金,-0.031
2020,A股,-0.05
2020,港股,-0.047
2020,美股,0.051
2020,利率债,0.036
2020,信用债,0.031
2020,黄金,0.101
2020,商品,-0.051
2020,现金,-0.006
2021,A股,0.107
2021,港股,-0.164
2021,美股,0.147
2021,利率债,0.038
2021,信用债,0.036
2021,黄金,0.118
2021,商品,-0.045
2021,现金,0.082
2022,A股,0.023
2022,港股,-0.133
2022,美股,0.108
2022,利率债,0.003
2022,信用债,0.017
2022,黄金,0.082
2022,商品,0.097
2022,现金,0.001
2023,A股,0.168
2023,港股,0.159
2023,美股,0.272
2023,利率债,0.051
2023,信用债,0.081
2023,黄金,0.014
2023,商品,-0.008
2023,现金,-0.006
2024,A股,0.064
2024,港股,-0.049
2024,美股,0.08
2024,利率债,0.091
2024,信用债,0.035
2024,黄金,0.082
2024,商品,0.002
2024,现金,0.022
2025,A股,0.051
2025,港股,0.074
2025,美股,0.24
2025,利率债,0.084
2025,信用债,0.049
2025,黄金,0.088
2025,商品,-0.108
2025,现金,0.017
