日期,指数点位,波动率
2023-02-08,4076.1411,0.13261167829080983
2023-02-09,4130.8565,0.13801416303416522
2023-02-10,4106.3097,0.12721004563367166
2023-02-13,4143.574,0.12972307852196316
2023-02-14,4145.2902,0.12784608026057706
2023-02-15,4123.6893,0.1299924658561433
2023-02-16,4093.4876,0.1329982427356063
2023-02-17,4034.507,0.14322690356569387
2023-02-20,4133.4896,0.15961797872347025
2023-02-21,4144.3536,0.1504494604562428
2023-02-22,4106.9506,0.15375251498992595
2023-02-23,4103.6463,0.15368442373079486
2023-02-24,4061.0457,0.1556065619328822
2023-02-27,4043.8444,0.15370126323410024
2023-02-28,4069.4587,0.154619800826612
2023-03-01,4126.9415,0.15987271027963185
2023-03-02,4117.7377,0.15601508566181205
2023-03-03,4130.5513,0.1562752253975513
2023-03-06,4109.0102,0.15390030534561963
2023-03-07,4048.8519,0.1554695112470182
2023-03-08,4034.1077,0.15564217771439684
2023-03-09,4019.8505,0.1554028189893715
2023-03-10,3967.1352,0.15235380569223597
2023-03-13,4008.686,0.15736932484255764
2023-03-14,3984.6956,0.15370676645028344
2023-03-15,3986.902,0.15373302938552064
2023-03-16,3939.1505,0.15736350353787873
2023-03-17,3958.8194,0.1580253739475147
2023-03-20,3939.077,0.1516016606311854
2023-03-21,3982.3782,0.12820870096965606
2023-03-22,3999.4427,0.129045784586612
2023-03-23,4039.0895,0.1320706962634029
2023-03-24,4027.0457,0.13229509493855512
2023-03-27,4012.4771,0.1281748536304406
2023-03-28,3999.5147,0.1278567531783115
2023-03-29,4006.144,0.12571838413015338
2023-03-30,4038.5257,0.11825088758999401
2023-03-31,4050.9257,0.1189818545804155
2023-04-03,4090.5676,0.12385888643290024
2023-04-04,4103.1052,0.12315090920717434
2023-04-06,4096.64,0.11138825987938736
2023-04-07,4123.2799,0.11208235842601326
2023-04-10,4104.8118,0.11261740909042517
2023-04-11,4100.1479,0.10068784404955658
2023-04-12,4097.2876,0.09557676247861473
2023-04-13,4068.9786,0.09648464937138106
2023-04-14,4091.9988,0.09778838316751347
2023-04-17,4149.3836,0.09488553023978727
2023-04-18,4162.032,0.09447890040323023
2023-04-19,4124.5589,0.09933728936012033
2023-04-20,4113.0192,0.09538647162130612
2023-04-21,4032.5672,0.11950541392664737
2023-04-24,3982.6429,0.12211579888379054
2023-04-25,3962.6658,0.12280833032199734
2023-04-26,3959.2323,0.12236463692072375
2023-04-27,3988.4185,0.1249847630617588
2023-04-28,4029.0858,0.12990337718586828
2023-05-04,4030.2471,0.12679099916032868
2023-05-05,4016.8774,0.12673011693287692
2023-05-08,4062.6624,0.1284694493779604
2023-05-09,4027.8754,0.13092892233798029
2023-05-10,3996.8695,0.13305773922727787
2023-05-11,3990.6637,0.13012143362239847
2023-05-12,3937.7622,0.136050764344216
2023-05-15,3998.8872,0.1489231903541995
2023-05-16,3978.2054,0.1495578345151049
2023-05-17,3960.165,0.1486715734388328
2023-05-18,3956.0701,0.1465471951178706
2023-05-19,3944.5403,0.1351452432628345
2023-05-22,3969.3277,0.13722957383749307
2023-05-23,3913.1882,0.14151916749744126
2023-05-24,3859.0935,0.1468987798642912
2023-05-25,3850.4996,0.1339636839832597
2023-05-26,3850.9511,0.12885239179204402
2023-05-29,3833.9416,0.1286670112130555
2023-05-30,3837.7531,0.1289508608382834
2023-05-31,3798.5434,0.12817924077399262
2023-06-01,3806.8679,0.12116220287736781
2023-06-02,3861.8337,0.13467741250574927
2023-06-05,3844.2492,0.1348980624250652
2023-06-06,3808.1629,0.12780880630859273
2023-06-07,3789.3418,0.1264475676286787
2023-06-08,3820.1867,0.13066440490889325
2023-06-09,3836.7026,0.1325567261083848
2023-06-12,3844.4324,0.12639563540060259
2023-06-13,3864.9074,0.1137946767985154
2023-06-14,3864.0247,0.11312443300577651
2023-06-15,3925.4994,0.12719249838032937
2023-06-16,3963.3509,0.1318027999593933
2023-06-19,3930.9079,0.1345680239144678
2023-06-20,3924.2377,0.13260011020537144
2023-06-21,3864.0323,0.13420805570821606
2023-06-26,3809.6962,0.1345068695462445
2023-06-27,3845.4334,0.1386611272416741
2023-06-28,3840.7986,0.13871953943566098
2023-06-29,3821.8435,0.13893469783071
2023-06-30,3842.4516,0.14020621428732846
